global_id,A1S1,A1N1,C2S2,H1_1,H4_1,I4Q1,I4Q2,I4Q3,I4Q4,I4Q5,I4Q6,I4Q7,k_means,k_means_dummy,k_means_pca,k_means_dummy_pca,Spectral,Spectral_dummy,Spectral_pca,Spectral_dummy_pca,gmm,gmm_pca,gmm_dummy,gmm_dummy_pca,agg,agg_pca,agg_dummy,agg_dummy_pca,dbscan,dbscan_pca,dbscan_dummy,dbscan_dummy_pca,meanshift,meanshift_pca,meanshift_dummy_pca
112934.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0,2,2,1,1,0,0,1,2,1,1,1,0,1,0,1,0,0,-1,0,0,0,0
112950.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1,0,0,2,0,1,0,0,0,0,1,1,1,0,0,1,1,0,-1,0,1,0,0
113007.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2,0,1,2,0,1,0,1,0,1,0,1,2,0,1,1,-1,0,-1,0,1,0,0
113017.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,2,2,1,1,0,0,1,2,1,1,1,0,1,0,0,0,0,-1,0,0,0,0
113019.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0,2,2,1,1,0,0,1,2,1,1,1,0,1,0,1,0,0,-1,0,0,0,0
113020.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2,2,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,-1,0,0,0,0
113030.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,2,2,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,-1,0,0,0,0
113053.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0,2,2,1,1,0,0,1,2,2,1,1,0,1,1,1,0,0,-1,0,0,0,0
113072.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1,2,0,1,2,2,0,2,1,2,1,0,2,2,0,0,-1,0,-1,0,0,0,0
113086.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0,2,2,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,-1,0,0,0,0
113093.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1,0,0,2,1,0,0,1,2,1,1,1,2,2,1,1,0,0,-1,0,0,0,0
113119.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2,0,1,2,0,1,0,0,2,1,0,1,2,0,1,1,1,0,-1,0,1,0,0
113141.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,2,1,1,1,1,0,-1,0,1,0,0
113143.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2,2,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,-1,0,0,0,0
113170.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2,0,1,2,0,1,0,1,2,1,0,1,2,1,1,1,0,0,-1,0,1,0,0
113205.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0,0,2,2,1,0,0,1,2,1,1,1,0,1,0,0,-1,0,-1,0,0,0,0
113208.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1,2,0,1,2,0,0,1,1,1,1,1,2,2,0,0,0,0,-1,0,0,0,0
113223.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0,0,2,2,1,0,0,1,2,1,1,1,0,1,1,1,0,0,-1,0,0,0,0
113244.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,2,0,1,1,1,0,-1,0,1,0,0
113263.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1,2,0,1,2,2,0,2,1,1,1,1,1,2,0,0,-1,0,-1,0,1,0,0
113316.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,1,0,1,1,-1,0,-1,0,1,0,0
113317.0,1.0,3.0,1.0,2.0,6.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2,1,1,2,0,1,2,0,0,0,2,1,1,0,1,1,-1,-1,-1,0,1,0,0
113338.0,1.0,1.0,1.0,2.0,6.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2,0,1,2,0,1,2,0,0,0,2,1,1,0,1,1,-1,-1,-1,0,1,0,0
113346.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2,0,1,2,0,1,0,0,0,0,0,1,1,0,1,1,-1,0,-1,0,1,0,0
113351.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2,1,1,0,0,1,0,0,0,1,0,1,1,0,2,1,-1,0,-1,0,1,0,0
113352.0,1.0,5.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2,0,1,2,0,1,0,0,2,1,2,1,1,1,1,1,-1,0,-1,0,1,0,0
113353.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0,0,2,2,1,0,0,1,2,1,1,1,0,1,0,1,-1,0,-1,0,0,0,0
113355.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,1,0,1,1,1,0,-1,0,1,0,0
113356.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,1,0,1,1,1,0,-1,0,1,0,0
113358.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2,0,1,2,0,1,0,0,0,0,0,1,1,0,1,1,-1,0,-1,0,1,0,0
113366.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,1,0,1,1,1,0,-1,0,1,0,0
